[Frame 0960] S->C (Server) | AC=20 Sub=08 Len=02 | Hex: 1408
[Frame 0961] C->S (Client) | AC=32 Sub=03 Len=02 | Hex: 2003
[Frame 0963] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 0601040205330909a2
[Frame 0965] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 0601067a055b09093f
[Frame 0967] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 0601065606ab09093a
[Frame 0969] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 060106ce06d3090964
[Frame 0971] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 06010646076f09096a
[Frame 0973] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 060106be0733090990
[Frame 0975] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 0601060e0833090932
[Frame 0977] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 0601065e081f0909d9
[Frame 0979] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 0601069a081f090903
[Frame 0981] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 060107ae08f708091d
[Frame 0983] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 060107c208cf080956
[Frame 0985] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 060107d608bb08091b
[Frame 0987] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 060107ea08a70809a0
[Frame 0989] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 06010712099308091e
[Frame 0991] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 0601073a097f080913
[Frame 0993] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 06010762097f080900
[Frame 0993] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 0601078a097f080916
[Frame 0995] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 060107b2096b08091f
[Frame 0997] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 060107da096b080996
[Frame 0999] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 060107020a6b080911
