[Frame 0315] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 200209
[Frame 0317] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0318] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 14010000000305000000027b000000000000
[Frame 0319] S->C (Server) | AC=35 Sub=12 Len=07 | Hex: 230c36b3460000
[Frame 0320] S->C (Server) | AC=183 Sub=11 Len=04 | Hex: b70b0902
[Frame 0321] S->C (Server) | AC=03 Sub=68 Len=49 | Hex: 0344ad02000402b7fa320e084704000700c42e791ac42e791a000000000000010408a5cdc1d9aaccbeae00ff0000000001
[Frame 0321] S->C (Server) | AC=05 Sub=00 Len=06 | Hex: 050044ad0200
[Frame 0321] S->C (Server) | AC=186 Sub=12 Len=07 | Hex: ba0c0100000000
[Frame 0322] C->S (Client) | AC=186 Sub=09 Len=04 | Hex: ba090100
[Frame 0323] S->C (Server) | AC=10 Sub=06 Len=08 | Hex: 0a0644ad02000000
[Frame 0323] S->C (Server) | AC=35 Sub=12 Len=07 | Hex: 230c44ad020000
[Frame 0325] S->C (Server) | AC=186 Sub=09 Len=09 | Hex: ba0901000100000000
[Frame 0326] S->C (Server) | AC=05 Sub=08 Len=07 | Hex: 050844ad020000
[Frame 0327] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0328] S->C (Server) | AC=20 Sub=07 Len=02 | Hex: 1407
[Frame 0328] S->C (Server) | AC=23 Sub=32 Len=06 | Hex: 1720a1e50300
[Frame 0328] S->C (Server) | AC=23 Sub=112 Len=06 | Hex: 1770a1e50300
[Frame 0328] S->C (Server) | AC=23 Sub=132 Len=06 | Hex: 1784a1e50300
[Frame 0328] S->C (Server) | AC=12 Sub=161 Len=14 | Hex: 0ca1e5030033270e04bb08010000
[Frame 0328] S->C (Server) | AC=05 Sub=00 Len=10 | Hex: 0500a1e503000d52c55d
[Frame 0329] S->C (Server) | AC=01 Sub=01 Len=06 | Hex: 0101e8810100
[Frame 0330] C->S (Client) | AC=12 Sub=01 Len=02 | Hex: 0c01
[Frame 0331] S->C (Server) | AC=23 Sub=138 Len=02 | Hex: 178a
[Frame 0331] S->C (Server) | AC=23 Sub=122 Len=06 | Hex: 177aa1e50300
[Frame 0331] S->C (Server) | AC=23 Sub=221 Len=03 | Hex: 17dd00
[Frame 0331] S->C (Server) | AC=22 Sub=04 Len=114 | Hex: 16040100ff006004a5080100000000000200000041035e0701000000000003000000dd032f08010000000000040000000b027105010000000000050000007408a807010000000000060000005405c0080100000000000700000017055b080100000000000800ff0040048a08010000000000
[Frame 0331] S->C (Server) | AC=23 Sub=04 Len=32 | Hex: 17040301006aa00000dc06390db400000003020021b40000d608e51000000000
[Frame 0331] S->C (Server) | AC=32 Sub=02 Len=07 | Hex: 2002a1e5030009
[Frame 0331] S->C (Server) | AC=23 Sub=76 Len=06 | Hex: 174ca1e50300
[Frame 0331] S->C (Server) | AC=23 Sub=102 Len=02 | Hex: 1766
[Frame 0331] S->C (Server) | AC=05 Sub=30 Len=08 | Hex: 051e01a1e5030000
[Frame 0332] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0333] S->C (Server) | AC=20 Sub=08 Len=02 | Hex: 1408
[Frame 0333] S->C (Server) | AC=22 Sub=11 Len=06 | Hex: 160b0600ffff
[Frame 0333] S->C (Server) | AC=06 Sub=02 Len=03 | Hex: 060201
[Frame 0333] S->C (Server) | AC=20 Sub=11 Len=02 | Hex: 140b
[Frame 0333] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0334] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 200209
[Frame 0336] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0337] S->C (Server) | AC=22 Sub=12 Len=06 | Hex: 160c020b0005
[Frame 0337] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0338] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0339] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 1401000000010500000001e82e0000000000
[Frame 0340] S->C (Server) | AC=35 Sub=12 Len=07 | Hex: 230cfd8f020000
[Frame 0341] S->C (Server) | AC=35 Sub=12 Len=07 | Hex: 230cf4af020000
[Frame 0342] S->C (Server) | AC=35 Sub=12 Len=07 | Hex: 230ce881010000
[Frame 0343] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0344] S->C (Server) | AC=24 Sub=01 Len=05 | Hex: 1801082f01
[Frame 0344] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0345] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0346] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0347] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0348] S->C (Server) | AC=24 Sub=05 Len=05 | Hex: 1805610001
[Frame 0348] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0349] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0350] S->C (Server) | AC=22 Sub=12 Len=06 | Hex: 160c01010006
[Frame 0350] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0351] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0352] S->C (Server) | AC=20 Sub=08 Len=02 | Hex: 1408
[Frame 0352] S->C (Server) | AC=05 Sub=04 Len=02 | Hex: 0504
[Frame 0353] C->S (Client) | AC=23 Sub=54 Len=02 | Hex: 1736
[Frame 0354] S->C (Server) | AC=23 Sub=122 Len=06 | Hex: 177aa1e50300
[Frame 0355] C->S (Client) | AC=20 Sub=01 Len=04 | Hex: 14010300
[Frame 0356] S->C (Server) | AC=22 Sub=01 Len=05 | Hex: 1601030001
[Frame 0356] S->C (Server) | AC=06 Sub=02 Len=03 | Hex: 060201
[Frame 0356] S->C (Server) | AC=20 Sub=11 Len=02 | Hex: 140b
[Frame 0356] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0357] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0358] S->C (Server) | AC=23 Sub=06 Len=33 | Hex: 17064b7d0800000000000000000000000000000000000000000000000000000000
[Frame 0358] S->C (Server) | AC=24 Sub=05 Len=05 | Hex: 1805460001
[Frame 0358] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0359] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0360] S->C (Server) | AC=20 Sub=08 Len=02 | Hex: 1408
[Frame 0361] C->S (Client) | AC=32 Sub=03 Len=02 | Hex: 2003
[Frame 0363] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 0601074e042f080983
[Frame 0365] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 060100fe03b70709b9
