=== 1. BEACH WAKE-UP & ROBINSON DRAGGING CUTSCENE (Frames 330 to 355) ===
[Frame 0330] C->S (Client) | AC=12 Sub=01 Len=02 | Hex: 0c01
[Frame 0331] S->C (Server) | AC=23 Sub=138 Len=02 | Hex: 178a
[Frame 0331] S->C (Server) | AC=23 Sub=122 Len=06 | Hex: 177aa1e50300
[Frame 0331] S->C (Server) | AC=23 Sub=221 Len=03 | Hex: 17dd00
[Frame 0331] S->C (Server) | AC=22 Sub=04 Len=114 | Hex: 16040100ff006004a5080100000000000200000041035e0701000000000003000000dd032f08010000000000040000000b027105010000000000050000007408a807010000000000060000005405c0080100000000000700000017055b080100000000000800ff0040048a08010000000000
[Frame 0331] S->C (Server) | AC=23 Sub=04 Len=32 | Hex: 17040301006aa00000dc06390db400000003020021b40000d608e51000000000
[Frame 0331] S->C (Server) | AC=32 Sub=02 Len=07 | Hex: 2002a1e5030009
[Frame 0331] S->C (Server) | AC=23 Sub=76 Len=06 | Hex: 174ca1e50300
[Frame 0331] S->C (Server) | AC=23 Sub=102 Len=02 | Hex: 1766
[Frame 0331] S->C (Server) | AC=05 Sub=30 Len=08 | Hex: 051e01a1e5030000
[Frame 0332] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0333] S->C (Server) | AC=20 Sub=08 Len=02 | Hex: 1408
[Frame 0333] S->C (Server) | AC=22 Sub=11 Len=06 | Hex: 160b0600ffff
[Frame 0333] S->C (Server) | AC=06 Sub=02 Len=03 | Hex: 060201
[Frame 0333] S->C (Server) | AC=20 Sub=11 Len=02 | Hex: 140b
[Frame 0333] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0334] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 200209
[Frame 0336] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0337] S->C (Server) | AC=22 Sub=12 Len=06 | Hex: 160c020b0005
[Frame 0337] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0338] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0339] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 1401000000010500000001e82e0000000000
[Frame 0340] S->C (Server) | AC=35 Sub=12 Len=07 | Hex: 230cfd8f020000
[Frame 0341] S->C (Server) | AC=35 Sub=12 Len=07 | Hex: 230cf4af020000
[Frame 0342] S->C (Server) | AC=35 Sub=12 Len=07 | Hex: 230ce881010000
[Frame 0343] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0344] S->C (Server) | AC=24 Sub=01 Len=05 | Hex: 1801082f01
