[Frame 0831] C->S (Client) | AC=20 Sub=01 Len=04 | Hex: 14010600
[Frame 0832] S->C (Server) | AC=22 Sub=10 Len=06 | Hex: 160a0600ffff
[Frame 0832] S->C (Server) | AC=06 Sub=02 Len=03 | Hex: 060201
[Frame 0832] S->C (Server) | AC=20 Sub=11 Len=02 | Hex: 140b
[Frame 0832] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0833] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0834] S->C (Server) | AC=23 Sub=06 Len=33 | Hex: 17066aa00100000000000000000000000000000000000000000000000000000000
[Frame 0834] S->C (Server) | AC=24 Sub=05 Len=05 | Hex: 18054a0001
[Frame 0834] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0835] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0836] S->C (Server) | AC=20 Sub=08 Len=02 | Hex: 1408
[Frame 0837] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 060101da04cf0809ae
[Frame 0839] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 060101c604a70809af
[Frame 0841] C->S (Client) | AC=20 Sub=01 Len=04 | Hex: 14010100
[Frame 0842] S->C (Server) | AC=06 Sub=02 Len=03 | Hex: 060201
[Frame 0842] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000001060301000000000000010003
[Frame 0843] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0845] S->C (Server) | AC=183 Sub=11 Len=04 | Hex: b70b0902
[Frame 0846] C->S (Client) | AC=20 Sub=09 Len=03 | Hex: 14091e
[Frame 0848] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0849] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 1401000000010103010001000000005d4f05
[Frame 0850] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0852] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0853] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 1401000000020103010001000000005e4f05
[Frame 0854] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0856] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0857] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 1401000000030103010001000000005f4f05
[Frame 0858] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0860] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0861] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000004010301000100000000604f05
[Frame 0862] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0864] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0865] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000005010301000100000000614f05
